category,date,value,id,last_value
ET,2019-01-01,1,0,1
LG,2019-01-01,28,0,28
DL,2019-01-01,2,0,2
DS,2019-01-01,9,0,9
AI,2019-01-01,5,0,5
SI,2019-01-01,7,0,7
OH,2019-01-01,1,0,1
DB,2019-01-01,1,0,1
AR,2019-01-01,0,0,0
CR,2019-01-01,6,0,6
SE,2019-01-01,2,0,2
CC,2019-01-01,2,0,2
SD,2019-01-01,2,0,2
PL,2019-01-01,6,0,6
NE,2019-01-01,6,0,6
MS,2019-01-01,0,0,0
PF,2019-01-01,1,0,1
GR,2019-01-01,0,0,0
FL,2019-01-01,2,0,2
CL,2019-01-01,6,0,6
SC,2019-01-01,1,0,1
CG,2019-01-01,2,0,2
GT,2019-01-01,4,0,4
OS,2019-01-01,0,0,0
RO,2019-01-01,7,0,7
DM,2019-01-01,0,0,0
IT,2019-01-01,11,0,11
MM,2019-01-01,1,0,1
MA,2019-01-01,1,0,1
CV,2019-01-01,33,0,33
NA,2019-01-01,1,0,1
NI,2019-01-01,17,0,17
HC,2019-01-01,1,0,1
GL,2019-01-01,0,0,0
DC,2019-01-01,4,0,4
LO,2019-01-01,5,0,5
CE,2019-01-01,1,0,1
IR,2019-01-01,8,0,8
SY,2019-01-01,3,0,3
CY,2019-01-01,2,0,2
ET,2019-01-02,1,1,1
LG,2019-01-02,28,1,28
DL,2019-01-02,2,1,2
DS,2019-01-02,9,1,9
AI,2019-01-02,5,1,5
SI,2019-01-02,9,1,7
OH,2019-01-02,1,1,1
DB,2019-01-02,1,1,1
AR,2019-01-02,0,1,0
CR,2019-01-02,6,1,6
SE,2019-01-02,2,1,2
CC,2019-01-02,2,1,2
SD,2019-01-02,2,1,2
PL,2019-01-02,6,1,6
NE,2019-01-02,6,1,6
MS,2019-01-02,0,1,0
PF,2019-01-02,1,1,1
GR,2019-01-02,0,1,0
FL,2019-01-02,2,1,2
CL,2019-01-02,7,1,6
SC,2019-01-02,1,1,1
CG,2019-01-02,2,1,2
GT,2019-01-02,4,1,4
OS,2019-01-02,0,1,0
RO,2019-01-02,7,1,7
DM,2019-01-02,0,1,0
IT,2019-01-02,11,1,11
MM,2019-01-02,1,1,1
MA,2019-01-02,1,1,1
CV,2019-01-02,33,1,33
NA,2019-01-02,1,1,1
NI,2019-01-02,17,1,17
HC,2019-01-02,1,1,1
GL,2019-01-02,0,1,0
DC,2019-01-02,4,1,4
LO,2019-01-02,5,1,5
CE,2019-01-02,1,1,1
IR,2019-01-02,8,1,8
SY,2019-01-02,3,1,3
CY,2019-01-02,2,1,2
ET,2019-01-03,3,2,1
LG,2019-01-03,55,2,28
DL,2019-01-03,3,2,2
DS,2019-01-03,9,2,9
AI,2019-01-03,13,2,5
SI,2019-01-03,13,2,9
OH,2019-01-03,1,2,1
DB,2019-01-03,3,2,1
AR,2019-01-03,1,2,0
CR,2019-01-03,9,2,6
SE,2019-01-03,3,2,2
CC,2019-01-03,3,2,2
